원표기	측정맥락	표준명	표준코드	CAS	IARC	유형	비유해	연관인자	매핑근거	신뢰도	사례수	측정건수
트리클로로에틸렌과 톨루엔		트리클로로에틸렌	트리클로-087	79-01-6	Group 1				레지스트리 포함매칭	R	1	2
포름알데히드(범위)	범위	포름알데히드	포름알데-201	50-00-0	Group 1				레지스트리 정확일치	R	1	2
포름알데히드(평균)	평균	포름알데히드	포름알데-201	50-00-0	Group 1				레지스트리 정확일치	R	1	2
혼합유기용제(아세톤, 크실렌, 메틸에틸케톤)	아세톤, 크실렌, 메틸에틸케톤	유기용제	유기용제-146						레지스트리 포함매칭	R	1	2
(1-3)beta-D-Glucan	1-3	생물학적 인자	생물학적-088						동의어사전→생물학적 인자	R	1	1
1,2-디클로로 프로판		1,2-디클로로프로판	12디클-000	78-87-5	Group 1				레지스트리 정확일치	R	1	1
1,3-Butadinel		1,3-부타디엔				유기화합물			정준명(레지스트리 외)	C	1	1
1,3-Dimethylbenzene		크실렌	크실렌-164	1330-20-7					동의어사전→크실렌	R	1	1
1-ethyl-4-methyl-benzene		4-에틸톨루엔				유기용제			정준명(레지스트리 외)	C	1	1
2,4-TDI		디이소시아네이트류	디이소시-043						동의어사전→디이소시아네이트류	R	1	1
2,4-TDI(toluene diisocyanate)	toluene diisocyanate	디이소시아네이트류	디이소시-043						동의어사전→디이소시아네이트류	R	1	1
2,6-TDI		디이소시아네이트류	디이소시-043						동의어사전→디이소시아네이트류	R	1	1
2-Ethoxyethanol		2-에톡시에탄올	2에톡시-096	110-80-5					동의어사전→2-에톡시에탄올	R	1	1
2-Furanmethanol		푸르푸릴 알코올				유기용제			정준명(레지스트리 외)	C	1	1
2-ethoxy ethanol		2-에톡시에탄올	2에톡시-096	110-80-5					동의어사전→2-에톡시에탄올	R	1	1
2-부탄올		2-부탄올				유기용제			정준명(레지스트리 외)	C	1	1
6가 크롬		크롬 및 그 화합물	크롬및그-183	7440-47-3	Group 1				동의어사전→크롬 및 그 화합물	R	1	1
6가크롬		크롬 및 그 화합물	크롬및그-183	7440-47-3	Group 1				동의어사전→크롬 및 그 화합물	R	1	1
Arsine		삼수소화 비소	삼수소화-117	7784-42-1					동의어사전→삼수소화 비소	R	1	1
Azodicarbonamide		아조디카본아미드				유기화합물			정준명(레지스트리 외)	C	1	1
BOD						비유해인자	수질지표		비유해인자:수질지표	NA	1	1
Benzo(a)pyrene	a	다환방향족탄화수소	다환방향-039		Group 1				동의어사전→다환방향족탄화수소	R	1	1
CRP						비유해인자	임상검사		비유해인자:임상검사	NA	1	1
Cellosolve		2-에톡시에탄올	2에톡시-096	110-80-5					동의어사전→2-에톡시에탄올	R	1	1
Cr		크롬 및 그 화합물	크롬및그-183	7440-47-3	Group 1				동의어사전→크롬 및 그 화합물	R	1	1
DMF		디메틸포름아미드	디메틸포-042	68-12-2					동의어사전→디메틸포름아미드	R	1	1
DMF(디메틸포름아미드)	디메틸포름아미드	디메틸포름아미드	디메틸포-042	68-12-2					동의어사전→디메틸포름아미드	R	1	1
Ethylbenzene		에틸벤젠				유기용제			정준명(레지스트리 외)	C	1	1
Ethylene glycol		에틸렌 글리콜	에틸렌글-130	107-21-1					동의어사전→에틸렌 글리콜	R	1	1
Ethylene oxide		산화에틸렌	산화에틸-085	75-21-8	Group 1				동의어사전→산화에틸렌	R	1	1
Formaldehyde		포름알데히드	포름알데-201	50-00-0	Group 1				동의어사전→포름알데히드	R	1	1
HCHO		포름알데히드	포름알데-201	50-00-0	Group 1				동의어사전→포름알데히드	R	1	1
HDI		디이소시아네이트류	디이소시-043						동의어사전→디이소시아네이트류	R	1	1
L5/S1 부하 (압박력)	압박력	근골격계 유해요인	근골격계-025						동의어사전→근골격계 유해요인	R	1	1
M.E.K		메틸 에틸 케톤	메틸에틸-054	78-93-3					동의어사전→메틸 에틸 케톤	R	1	1
M.I.B.K		메틸 이소부틸 케톤	메틸이소-055	108-10-1					동의어사전→메틸 이소부틸 케톤	R	1	1
MDI		디이소시아네이트류	디이소시-043						동의어사전→디이소시아네이트류	R	1	1
MIBK		메틸 이소부틸 케톤	메틸이소-055	108-10-1					동의어사전→메틸 이소부틸 케톤	R	1	1
Mn		망간 및 그 무기화합물	망간및그-050	7439-96-5					동의어사전→망간 및 그 무기화합물	R	1	1
OSHA의 위험 평가						비유해인자	평가/방법		비유해인자:평가/방법	NA	1	1
PAH(12종)	12종	다환방향족탄화수소	다환방향-039		Group 1				동의어사전→다환방향족탄화수소	R	1	1
PAHs (드로잉유)	드로잉유	다환방향족탄화수소	다환방향-039		Group 1				동의어사전→다환방향족탄화수소	R	1	1
PAHs (유압 작동유)	유압 작동유	다환방향족탄화수소	다환방향-039		Group 1				동의어사전→다환방향족탄화수소	R	1	1
PAHs(naphthalene, acenaphthene, anthracene, fluoanthene)	naphthalene, acenaphthene, anthracene, fluoanthene	다환방향족탄화수소	다환방향-039		Group 1				동의어사전→다환방향족탄화수소	R	1	1
PCE		퍼클로로에틸렌	퍼클로로-188	127-18-4	Group 2A				동의어사전→퍼클로로에틸렌	R	1	1
PD20						비유해인자	임상검사		비유해인자:임상검사	NA	1	1
PGME		프로필렌글리콜 모노메틸에테르				유기용제			정준명(레지스트리 외)	C	1	1
PSA						비유해인자	임상검사		비유해인자:임상검사	NA	1	1
Pb		납 및 그 무기화합물	납및그무-034	7439-92-1	Group 2A				동의어사전→납 및 그 무기화합물	R	1	1
Pentane		펜탄	펜탄-197						동의어사전→펜탄	R	1	1
SS						비유해인자	수질지표		비유해인자:수질지표	NA	1	1
WAC 평가						비유해인자	평가/방법		비유해인자:평가/방법	NA	1	1
WBGT(고온)	고온	고온 및 저온 환경	고온및저-015						동의어사전→고온 및 저온 환경	R	1	1
X선(전리방사선)	전리방사선	전리방사선	전리방사-167		Group 1				별표22:전리방사선(상위 승격)	R	1	1
Zn		아연 및 그 화합물				금속			정준명(레지스트리 외)	C	1	1
